corpus,file,extension,size_bytes,entropy_bits_per_byte
D1,chiffrement.png,.png,43877,7.9798
D1,Circle Spoke 2.png,.png,6298,7.9545
D1,classic_compressors.py,.py,5361,4.5003
D1,code.txt,.txt,11318,4.7423
D1,compression_ratios_detail.csv,.csv,105694,4.5677
D1,computer.png,.png,35726,7.805
D1,conf.PNG,.png,50186,7.9678
D1,conting.png,.png,37276,7.9372
D1,controle.PNG,.png,26744,7.8802
D1,CrashReport_01112025153747733.json,.json,25956,4.4664
D1,CrashReport_01112025153856155.json,.json,26075,4.474
D1,CrashReport_01112025153946298.json,.json,25776,4.4679
D1,CrashReport_01112025154108060.json,.json,26020,4.4689
D1,CrashReport_01112025154258028.json,.json,26074,4.4739
D1,CrashReport_02112025120223437.json,.json,26069,4.4732
D1,CrashReport_02112025120418749.json,.json,26009,4.4692
D1,CrashReport_02112025120755589.json,.json,26010,4.4676
D1,CrashReport_02112025120948631.json,.json,26074,4.4728
D1,CrashReport_02112025121523705.json,.json,25775,4.4672
D1,CrashReport_02112025121604421.json,.json,26005,4.4682
D1,CrashReport_05102025201119843.json,.json,34216,4.4955
D1,CrashReport_08102025211705419.json,.json,27027,4.4563
D1,CrashReport_08102025211745314.json,.json,27005,4.4564
D1,CrashReport_08102025211821988.json,.json,27005,4.4577
D1,CrashReport_08102025211856838.json,.json,26992,4.4571
D1,CrashReport_08102025225434051.json,.json,28773,4.4348
D1,CrashReport_09102025061351038.json,.json,27010,4.4561
D1,CrashReport_12102025235135711.json,.json,28948,4.4385
D1,CrashReport_13102025150543088.json,.json,26464,4.4838
D1,CrashReport_16062025170606000.json,.json,33672,4.4474
D1,CrashReport_18072025230507380.json,.json,33768,4.4657
D1,CrashReport_19102025175555896.json,.json,28935,4.4292
D1,CrashReport_20072025155133805.json,.json,33221,4.4658
D1,CrashReport_20072025204713604.json,.json,33554,4.4824
D1,CrashReport_23102025153305787.json,.json,28958,4.431
D1,CrashReport_24052025001655483.json,.json,34018,4.478
D1,CrashReport_24062025130917782.json,.json,34148,4.4656
D1,CrashReport_24102025212442417.json,.json,28937,4.4316
D1,CrashReport_24102025214624395.json,.json,28879,4.4334
D1,CrashReport_25072025213437792.json,.json,34342,4.4769
D1,CrashReport_26102025101801864.json,.json,28746,4.4376
D1,CrashReport_30102025200504491.json,.json,25701,4.4626
D1,CrashReport_31102025113738197.json,.json,26072,4.4737
D1,CrashReport_31102025154346792.json,.json,26240,4.4743
D1,crypto.png,.png,42286,7.9276
D1,cryptosyst.PNG,.png,228645,7.9554
D1,data.PNG,.png,386745,7.9778
D1,data_checksums.csv,.csv,48518,4.9149
D1,data_manifest.csv,.csv,32521,4.975
D1,database.sql,.sql,83019,4.9786
D1,datas.PNG,.png,69066,7.9626
